"playerName","clubName","playerAge","position","minPlayed","minAvailable","minPer","DoB","marketValue"
"Aaron Meijers","ADO Den Haag",32,"Left-Back",1710,1710,1,1987-10-28,850000
"Abdallah Aberkane","Sparta Rotterdam",19,"Centre-Back",3,1800,0.002,2000-05-05,50000
"Abdou Harroui","Sparta Rotterdam",21,"Central Midfield",1436,1800,0.798,1998-01-13,1750000
"Achraf El Bouchataoui","Feyenoord Rotterdam",19,"Central Midfield",0,2610,0,2000-01-12,250000
"Adam Maher","FC Utrecht",26,"Central Midfield",1928,1980,0.974,1993-07-20,4e+06
"Adil Auassar","Sparta Rotterdam",33,"Defensive Midfield",1266,1800,0.703,1986-10-06,4e+05
"Adnan Ugur","Fortuna Sittard",18,"Central Midfield",295,1800,0.164,2001-06-28,150000
"Adrián Dalmau","FC Utrecht",25,"Centre-Forward",280,1980,0.141,1994-03-23,4e+06
"Adrian Szöke","Heracles Almelo",21,"Attacking Midfield",140,1800,0.078,1998-07-01,350000
"Ahmed El Messaoudi","FC Groningen",24,"Defensive Midfield",1143,1800,0.635,1995-08-03,1e+06
"Aitor Cantalapiedra","FC Twente Enschede",23,"Right Winger",1653,1800,0.918,1996-02-10,2e+06
"Ajdin Hrustic","FC Groningen",23,"Attacking Midfield",1612,1800,0.896,1996-07-05,7e+05
"Albert Gudmundsson","AZ Alkmaar",22,"Right Winger",285,2790,0.102,1997-06-15,2500000
"Aleksandar Bjelica","ADO Den Haag",26,"Centre-Back",48,1710,0.028,1994-01-07,350000
"Alen Halilovic","SC Heerenveen",23,"Attacking Midfield",374,1800,0.208,1996-06-18,1750000
"Àlex Carbonell","Fortuna Sittard",22,"Central Midfield",522,1800,0.29,1997-09-15,4e+05
"Alexander Merkel","Heracles Almelo",27,"Central Midfield",1654,1800,0.919,1992-02-22,1250000
"Alexei Coselev","Fortuna Sittard",26,"Goalkeeper",1620,1800,0.9,1993-11-19,2e+06
"Amadou Ciss","Fortuna Sittard",20,"Attacking Midfield",1288,1800,0.716,1999-09-07,7e+05
"Amir Absalem","FC Groningen",22,"Left-Back",442,1800,0.246,1997-06-19,4e+05
"Anas Tahiri","RKC Waalwijk",24,"Attacking Midfield",1052,1710,0.615,1995-05-05,7e+05
"Anco Jansen","FC Emmen",30,"Left Winger",3,1710,0.002,1989-03-09,7e+05
"André Onana","Ajax Amsterdam",23,"Goalkeeper",2700,2700,1,1996-04-02,4.5e+07
"Andreas Skovgaard","SC Heerenveen",22,"Centre-Back",0,1800,0,1997-03-27,4e+05
"Ariel Harush","Sparta Rotterdam",31,"Goalkeeper",810,1800,0.45,1988-02-08,6e+05
"Arjen van der Heide","SC Heerenveen",18,"Left Winger",31,1800,0.017,2001-11-19,3e+05
"Armando Obispo","Vitesse Arnhem",20,"Centre-Back",1620,1800,0.9,1999-03-05,9e+05
"Áron Dobos","Fortuna Sittard",19,"Right Winger",0,1800,0,2000-06-08,150000
"Azbe Jug","Fortuna Sittard",27,"Goalkeeper",180,1800,0.1,1992-03-03,3e+05
"Azor Matusiwa","FC Groningen",21,"Defensive Midfield",1513,1800,0.841,1998-04-28,1e+06
"Bart Nieuwkoop","Willem II Tilburg",23,"Right-Back",793,1800,0.441,1996-03-07,1500000
"Bart Nieuwkoop","Feyenoord Rotterdam",23,"Right-Back",45,2610,0.017,1996-03-07,1500000
"Bart Ramselaar","FC Utrecht",23,"Attacking Midfield",801,1980,0.405,1996-06-29,3e+06
"Bart Ramselaar","PSV Eindhoven",23,"Attacking Midfield",0,2880,0,1996-06-29,3e+06
"Bart van Hintum","FC Groningen",32,"Left-Back",683,1800,0.379,1987-01-16,4e+05
"Bart Vriends","Sparta Rotterdam",28,"Centre-Back",1794,1800,0.997,1991-05-09,5e+05
"Bassala Sambou","Fortuna Sittard",22,"Centre-Forward",1127,1800,0.626,1997-10-15,150000
"Benjamin van Leer","Ajax Amsterdam",27,"Goalkeeper",0,2700,0,1992-04-09,9e+05
"Bilal Ould-Chikh","ADO Den Haag",22,"Right Winger",346,1710,0.202,1997-07-28,3e+05
"Bo Breukers","Fortuna Sittard",20,"Central Midfield",0,1800,0,1999-05-20,1e+05
"Bram van Polen","PEC Zwolle",34,"Right-Back",72,1800,0.04,1985-10-11,650000
"Branislav Ninaj","Fortuna Sittard",25,"Centre-Back",1681,1800,0.934,1994-05-17,6e+05
"Bruma","PSV Eindhoven",25,"Left Winger",1429,2880,0.496,1994-10-24,1e+07
"Bruno Varela","Ajax Amsterdam",25,"Goalkeeper",0,2700,0,1994-11-04,3e+06
"Bryan Linssen","Vitesse Arnhem",29,"Left Winger",1614,1800,0.897,1990-10-08,3e+06
"Bryan Smeets","Sparta Rotterdam",27,"Attacking Midfield",1521,1800,0.845,1992-11-22,1e+06
"Calvin Stengs","AZ Alkmaar",21,"Right Winger",2667,2790,0.956,1998-12-18,2e+07
"Calvin Verdonk","Feyenoord Rotterdam",22,"Left-Back",0,2610,0,1997-04-26,2e+06
"Calvin Verdonk","FC Twente Enschede",22,"Left-Back",1529,1800,0.849,1997-04-26,2e+06
"Carel Eiting","Ajax Amsterdam",21,"Defensive Midfield",2,2700,0.001,1998-02-11,4e+06
"Charlison Benschop","FC Groningen",30,"Centre-Forward",852,1800,0.473,1989-08-21,5e+05
"Charly Musonda Jr.","Vitesse Arnhem",23,"Attacking Midfield",65,1800,0.036,1996-10-15,1250000
"Ché Nunnely","Willem II Tilburg",20,"Right Winger",1473,1800,0.818,1999-02-04,1e+06
"Chidera Ejuke","SC Heerenveen",22,"Left Winger",1497,1800,0.832,1998-01-02,3e+06
"Christopher Mamengi","FC Utrecht",18,"Centre-Back",0,1980,0,2001-04-03,1e+05
"Cian Harries","Fortuna Sittard",22,"Centre-Back",468,1800,0.26,1997-04-01,250000
"Clint Essers","Fortuna Sittard",22,"Right-Back",998,1800,0.554,1997-01-21,350000
"Clint Leemans","PEC Zwolle",24,"Central Midfield",59,1800,0.033,1995-09-15,7e+05
"Clint Leemans","RKC Waalwijk",24,"Central Midfield",1232,1710,0.72,1995-09-15,7e+05
"Cody Gakpo","PSV Eindhoven",20,"Left Winger",1724,2880,0.599,1999-05-07,6e+06
"Connor van den Berg","Willem II Tilburg",18,"Goalkeeper",0,1800,0,2001-03-18,25000
"Crysencio Summerville","ADO Den Haag",18,"Right Winger",1078,1710,0.63,2001-10-30,7e+05
"Cyriel Dessers","Heracles Almelo",25,"Centre-Forward",1800,1800,1,1994-12-08,1500000
"Daan Rienstra","RKC Waalwijk",27,"Central Midfield",1439,1710,0.842,1992-10-06,4e+05
"Dabney dos Santos","Heracles Almelo",23,"Left Winger",826,1800,0.459,1996-07-31,5e+05
"Daley Blind","Ajax Amsterdam",29,"Centre-Back",2302,2700,0.853,1990-03-09,2.5e+07
"Damil Dankerlui","Willem II Tilburg",23,"Right-Back",430,1800,0.239,1996-08-24,8e+05
"Dani de Wit","Ajax Amsterdam",21,"Central Midfield",4,2700,0.001,1998-01-28,3e+06
"Dani de Wit","AZ Alkmaar",21,"Central Midfield",1541,2790,0.552,1998-01-28,3e+06
